Course_region,Course_name,course_info,course_distance,Course_time,Course_desc
,고려와 조선을 잇는 나주 역사 기행,"견훤은 나주 지역을 중심으로 후백제를 세웠고, 고려 태조 왕건은 나주 완사천에서 훗날의 장화왕후와 연을 맺었다. 나주는 고려 성종 때 나주목이 된 이래 천년 목사 고을로 불리는 고장이다. 전주와 나주의 지명을 한 자씩 따서 ‘전라도’라 이름 붙인 데서 알 수 있듯이, 나주는 천년 역사를 고스란히 간직한 역사의 고장이라 할 만하다.",31.8km,5~6시간,"1.나주향교
코스개요 :나주목은 전주부에 이어 호남에서 두 번째 가는 고을이었으므로 향교의 규모도 컸다. 그 규모가 오늘날로 이어지고 있다. 나주향교에는 명륜당, 대성전, 동.서무, 동.서재, 내신문, 외신문, 교직사, 충효관, 보전각, 하마비 등이 있다. 

2.나주목사내아
코스개요 :나주목사내아는 조선시대 나주목사의 관저로서 상류주택의 안채와 같은 평면 구조로 이루어져 있으며 안채는 순조 25년(1825년) 건립된 것으로 건물 구조는 전통 양식인 한옥 ㄷ자형이다. 

3.운흥사(나주 운흥사)
코스개요 :운흥사는 덕룡산 기슭에 있는 고찰이었다. 1775년 정문(鄭文)이 쓴 진여문4중창기(眞如門四重創記)에 의하면 당 희종년간(846∼887)에 도선국사가 이곳의 지세가 좋아 흥덕으로부터 와서 이곳 도성암(道成庵)에서 첫 강회를 열고 터전을 닦은 후 신라 효공왕 년간(897∼911)에 이곳에 웅점(熊岾)에 웅치사(熊峙寺) 창건하였다.

4.불회사(나주 불회사석장승)
코스개요 :불회사 석장생은 사찰 입구 300m 지점 오솔길 좌우에 2기가 있다. 장승의 앞면에는 ‘당주’라는 글씨가 새겨져 있는데 당(唐)자 주(周)자 글씨는 길(道)과 같은 뜻으로 사용된 것으로 보인다.

"
,푸른 하늘 아래서 즐기는 천연염색체험,"나주는 영산강을 중심으로 한 고대 문화의 중심지로 직물문화가 발달했던 고장이다. 천연염색 문화와 전통을 지속적으로 전승, 발전시켜온 덕분에 천연염색문화관에서 다양한 천연염색체험을 해볼 수 있다. 영산강을 따라 걸으며, 옛 고대 도시의 흔적인 반남 고분군과 복암리 고분군도 빼놓지 말고 둘러보자.",28.7km,6시간 30분,"1.나주 천연염색문화관
코스개요 :고대문화 중심지인 나주는 영산강유역을 배경으로 일찍이 염색문화와 실크생산의 큰 역할을 하여 왔다. 영산강과 바닷물이 합류했던 지리적 환경은 쪽재배와 뽕나무를 재배하기에 적합하여 이곳은 천연염색의 최적지이자 전국에서 유일하게 중요 무형문화재 염색장 기능 보유자도 활동하고 있는 곳이다. 

2.점심식사(영산포 홍어거리)
코스개요 :옛 영산포구가 있던 자리에 40여 곳의 홍어음식점과 도매상이 들어서 있다. 홍어거리에 들어서면 퀴퀴한 홍어 냄새가 진동한다.<br /><br />
* 나주시 관광안내 : 061-330-8114

3.영산포등대
코스개요 :일제강점기 영산강의 가항종점인 영산포 선창에 건립된 등대이다. 1915년 설치된 시설로 수위 측정과 등대의 기능을 겸했다. 이 등대는 우리나라 내륙하천가에 있는 유일한 것으로 1989년까지 수위 관측시설로 사용되었다.

4.반남고분군
코스개요 :대안리의 동쪽에 위치한 자미산(紫薇山)에서 서쪽으로 이어지는 낮은 구릉에 분포되어 있는 12기의 삼국시대(三國時代) 고분이다. 

"
,함평 바다에서 즐기는 특별한 체험,함평군은 매년 봄 나비축제를 개최하고 있다. 그만큼 깨끗한 자연 환경을 간직한 고장이다. 나비축제 외에도 일몰로 유명한 석두(돌머리해변)마을의 갯벌체험과 게르마늄을 이용한 해수찜체험도 유명하다. 함평자연생태공원에서는 때 묻지 않은 자연을 느끼고 즐길 수 있는 오감만족 자연체험이 가능하다.,22.7km,5시간,"1.고막천석교
코스개요 :함평고막천 석교 일명 '똑다리', 또는 '떡다리'라고 불힌다. 이 다리는 목조가구식을 석조형태로 바꾼 우리나라에서 보기 드문 돌로 만든 다리로 고막천을 동서로 가로지르고 있다. 

2.점심식사(대흥식당)
코스개요 :대흥식당은 남도 음식점으로 지정받은 곳으로 32년동안 2대에 걸쳐 운영되고 있는 한우 전문점이다. 쇠고기는 함평 우시장의 한우 박살만 쓴다. <br /><br />
* 문의/안내 : 061-322-3953

3.석두마을 갯벌체험
코스개요 :함평만에 위치하고 있으며 농업을 겸하고 있다. 함평 유일의 해상 교통로가 있으며 석두에는 돌머리해수욕장이 있어 함평읍의 주요 관광지이다. 자연마을로는 신설포, 덕흥, 성재동, 석두, 성곡, 청학동, 성덕 등이 있다.

4.함평 해수찜
코스개요 :함평 해수찜은 1800년대부터 민간요법으로 널리 이용되어 온 신비한 치료법이다. 세종실록의 도자기 가마를 이용한 한증법을 계승 발전시킨 것으로 유황성분이 많은 돌과 삼못초같은 약초를 넣고 소나무 장작으로 가열한 후 해수(海水)가 든 탕에 넣고 데워진 물로 찜질을 하는데 온천과 약찜의 효능을 한꺼번에 즐길 수 있다.

"
,용천사 붉은 꽃무릇 보러 갈까?,"함평 용천사는 고창 선운사, 영광 불갑사와 함께 꽃무릇 군락이 아름다운 곳으로 손꼽힌다. 용천사 주변에는 꽃무릇공원이 조성되어 있어 가을이면 붉은 꽃무릇이 장관을 이룬다. 용천사 입구 꽃무릇공원에서 용천사 뒷산까지 온전히 꽃무릇 세상이다. 용천사와 함께 함평자연생태공원, '황토와 들꽃세상'에서 순수 자연을 만끽해보자.",14.8km,5시간,"1.함평 자연생태공원
코스개요 :함평자연생태공원은 쾌적한 자연환경보전과 더불어 멸종위기의 각종 동/식물을 보존육성함은 물론 전시/관람을 통해 보고, 배우며, 체험할 수 있는 학습공간으로서 국민들이 여가선용의 장으로 활용할 수 있도록 지역문화 발전 및 관광산업 활성화에 그 목적을 두고 추진하게 되었다. 

2.용천사
코스개요 :용천사는 대한불교조계종 제18교구 본사인 백양사의 말사이다. 600년(백제 무왕 1) 행은(幸恩)이 창건하였다. 절 이름은 대웅전 층계 아래에 있는 용천(龍泉)이라는 샘에서 유래한다. 이 샘은 황해로 통하며 용이 살다가 승천했다는 전설이 전한다. 645년(의자왕 5) 각진(覺眞)이 중수하고, 1275년(고려 충렬왕 1) 국사 각적(覺積)이 중수하였다. 

3.모평 마을
코스개요 :전라남도 함평군에 위치한 모평(상모)마을은 역사와 전통, 그리고 생생한 자연을 체험할 수 있는 아주 특별한 농촌마을이다. 예쁜 돌담길로 시작되는 모평마을은 함평군의 뿌리가 되는 마을이다. 

"
,하멜표류기의 흔적을 만나다,"강진 전라병영성은 조선시대의 병마절도사의 영이 있던 곳이다. 병영성 곳곳에는 강진 병영마을 옛 담장, 천연기념물로 지정된 성동리 은행나무, 삼인리비자나무, 병영성 홍교 등 볼거리가 제법 많다. 특히 이곳은 하멜표류기를 쓴 하멜이 머물던 곳으로 병영성의 옛 담장은 하멜식 담쌓기라 부르는 방식으로 쌓은 담장으로 잘 알려져 있다. 병영성과 병영마을, 하멜의 흔적까지 남아 있어 천천히 걸으며 둘러보기에 제격이다.",19km,6시간,"1.강진 병영마을 옛담장
코스개요 :강진 병영마을은 옛 병마절도사의 영(營)이란 명칭에서 유래된 마을로 오랜 역사 속에서 그 명맥을 이어오고 있다. 주위의 수인산, 성자산, 옥녀봉, 별락산, 화방산 등 크고 작은 산으로 둘러싸여 분지형태의 천연요새로, 일찍이 전라도의 군수권을 통괄했던 병영성이 이곳에 들어섰으며 빠른 상업의 발달을 이룬 곳이다. 이곳에는 사적 제397호로 지정된 ‘병영성지’가 남아있어 그 역사를 증언하고 있다.

2.강진전라병영성
코스개요 :조선조 600년간 호남과 제주도 53주 6진을 통할한 육군의 총 지휘부로 1417년(태종 17) 본래 광산현에 설치되어 있던 병마절도사영을 이설한 성이다. 초대 병사인 마천목장군이 꿈속에 계시를 받아 눈(雪)의 자국을 따라 축조하였다 하여 설성이라고도 하는데 평지에 축조된 성으로, ""대동지지""나 ""색지""등에 따르면 둘레 2,820척, 높이 18척, 옹성 12개소, 연못 5개소, 우물 9개소, 포루 2개소였고 성문 4개소, 연회장, 객사 등 15동의 부속 건물이 있었다고 한다. 1599년(선조 32) 일시 장흥으로 이설되었다가 1604년 다시 이곳으로 옮겨왔으며, 제주도에 표착했던 네델란드인 하멜이 이곳으로 압송되어 8년여 동안을 억류생활 했던 곳이다. 

3.하멜체류지와 강진 성동리 은행나무
코스개요 :병영면의 은행나무는 강진읍에서 북동으로 14.8㎞ 떨어진 병영면 소재지에 위치해 있다. 이 지역은 고려시대에 도강(도강)현의 현청이 있던 곳으로서, 조선시대 태종 17년(1417년)에 병영을 설치하여 병마 절도사를 둔 곳이기도 하다. 이곳으로부터 은행나무는 약 500m 정도 떨어진 거리에 있다. 은행나무는 동성마을 중앙에 우뚝 솟아 마을의 상징목으로 되어 있으며 수고 30m, 흉고둘레 6.75m, 수관 폭은 중심에서 동쪽으로 16.5m, 서쪽으로 13m, 남쪽으로 10.9m, 북쪽으로 3.5m나 뻗어 있다. 

4.병영성 홍교
코스개요 :병영은 조선 태종 17년(1417)에 남해 지역의 외침을 방어하기 위하여 병마절도사영이 설치되어 500여 년간 호남을 지켜온 군사 요충지였으며 홍교는 병영의 관문이었다. 이 홍교는 일명 배진강 다리라고도 하는데, 장방형 화강석재 74개를 26열로 정교하게 무지개처럼 쌓고 잡석을 채워 보강한 다음 점토로 다리 위를 다졌다. 
홍예의 상단 중앙에 돌출시킨 용두는 여의주를 입에 물고 풍운조화를 일으키려는 듯 머리를 치켜들고 있다. 그 모습은 매우 해학적이며 그 의장 또한 만인월교의 외경 신앙을 함축성 있게 시사하고 있는 듯하다. 축조연대는 숙종 무인(1698년)에 가선동추 경술(1739년)에 숭록대부가 된 류한계의 금의환향을 기념하여 양한조가 감독, 준공하였다는 내용으로 미루어 18세기에 건축된 것으로 추정되는데 건축의 수작이다. 

5.월남사지
코스개요 :월남사지는 월출산 정상과 양자암을 배경으로 하고 있는 평지에 위치한 전면 175m, 측면 185m인 장방형의 사지로 총 면적은 1만여 평에 달하고 있으며 옛날에는 그 규모나 지세면에서 인근 무위사보다 컸으리라 추측된다. 지금은 백제계 석탑이라 하여 주목받고 있는 삼층석탑 (보물 298호)과 진각국사비 (보물 313호) 등 2점의 유물이 남아있으며 석탑을 주변으로 외각 담장의 흔적이 남아 있다. 또한 주변 민가에 사리의 기단석이나 탑의 기단부로 보이는 유물들이 남아 있다. 월남사지에서는 기와와 청자, 백자편 등 유물이 발견되었는데 이들 대부분이 고려에서 조선 시대의 유물들이며 특히 월남사의 건물 벽에 사용되었던 것으로 추측되는 청자타이루편이 발견되어 관심을 기울이게 하고 있다. 

6.전남 강진다원
코스개요 :남한의 금강산이라 불리 우는 월출산은 큰 바위가 병풍처럼 둘러쳐진 산으로 그 경치가 마치 한폭의 산수화를 그려 놓은 것과 같이 산세가 뛰어나며 예로부터 산 주변의 여러 사찰을 중심으로 차나무가 재배 되었던 곳이다.

7.무위사
코스개요 :무위사는 강진읍에서 북서쪽으로 16km 쯤에 자리한다. 이 절의 기록에 의하면 신라 진평왕 39년(617년)에 원효대사가 이곳 월출산 남쪽 기슭에 창건하여 관음사라 했다가 1 555년 태감선사가 지금의 이름인 ""무위사""로 불렀다고 전한다. 극락보전을 제외하고는, 그 당시 지어졌던 대부분의 건축물들이 임진왜란 때 소실되어 버렸다. 극락보전은 조선 초기에 지어진 것으로 국보 제13호로 지정되어 있다. 해방 이후 1 956년에 극락전을 수리 보수하고 보존각을 새로 세워 그 안에 벽화를 봉안했다. 그 후 1 975년에는 봉향각 해탈문·명부전·천불전을 다시 지었다. 고려시대에 세워진 선각대사 편광탑비 (보물제507호)와 삼층석탑(도지정 문화재자료76호)이 경내에 남아 있었다. 

"
,다산의 발길 따라 걸어볼까?,"강진은 다산 정약용 선생의 유배지로 그의 흔적을 온전히 만나보는 여정이다. 다산이 머물며 실학을 집대성한 다산초당을 시작해 다산이 혜장선사를 만나러가던 백련사 가는 길과 동백림, 백련사까지의 길은 여행객들에게 인기 있는 코스다. 강진 읍내의 사의재를 거쳐 강진 청자도요지와 미항으로 손꼽히는 마량항까지는 다산의 흔적과 함께 강진만을 따라가는 아름다운 바다순례길이다.",40.4km,6시간,"1.다산초당
코스개요 :강진만이 한눈에 굽어보이는 만덕산 기슭에 자리한 다산초당은 조선시대 후기 실학을 집대성한 대학자 정약용선생이 유배생활을 했던 곳이다. 다산(茶山)이라는 호는 강진 귤동 뒷산 이름으로 이 기슭에 머물고 계시면서 자신의 호로 써 왔다. 조선후기 대표적 실학자인 다산선생이 1801년 강진에 유배되어 18년여 동안 적거생활하시는 동안『목민심서』『경세유표』등 500여권의 방대한 책을 저술하면서 조선시대 성리학의 공리 공론적이며 관념론적인 학풍을 실용적인 과학사상으로 이끌고자 하는 실사구시의 실학을 집대성한 곳이다. 

2.백련사(강진)
코스개요 :839년 신라 문성왕 때 무주 무염이 창건했다. 그 뒤 고려 희종 7년 원묘국사 요세에 의해 건물 80여 칸이 중창되었다. 고려 후기 120년 동안 고려의 여덟 국사를 배출했다. 이 절은 천태사상에 입각한 결사도량을 개설하여 침체된 불교의 중흥을 꾀하는데 중심 역할을 했다.

3.강진고려청자도요지
코스개요 :강진군 대구면 일대는 우리나라 중세미술을 대표하는 고려청자의 생산지다. 1963년 사적 제68호로 지정된 대구 고려청자 도요지는 9세기부터 14세기까지 5백여 년간 집단적으로 청자를 생산했던 곳으로 9개 마을에 180여개소의 가마터가 분포되어 있으며, 약18만여 평을 문화재 보호구역으로 지정 관리하고 있다. 

4.마량미항
코스개요 :마량항은 광주에서 강진을 지나 우리나라 서남부 최남단에 위치해 있으며 완도 다도해 및 제주도를 연결하는 청정해역으로 돔, 농어, 우럭 등 바다낚시의 보고이다. 조선 초기 태종조 1417년 마두진이 설치되어 만호절제도위가 관장하였고 임진왜란, 정유재란을 겪을 당시 거북선 1척이 상시 대기하는 전략적 요충지였다. 유서 깊은 만호성터가 남아있고, 까막섬이 수묵화처럼 떠있으며, 고금도와 약산도가 든든하게 풍랑을 막아주는 마량포구는 1종 어항으로서 천혜의 미항으로 손꼽히고 있다. 
낮보다 밤의 정취가 아름다운 이곳 마량미항에서는 매주 토요일 아름다운 항구와 관광객이 하나 되는 흥겨운 음악회가 열린다.

"
,운치 있는 산사에서의 하루,"깊은 자연 속 운치 가득한 산사에서 보내는 하루. 그저 사찰 안에 가만히 앉아만 있어도 저절로 힐링 되는 기분이다. 사찰이라고 해서 모두가 같은 분위기를 지니고 있는 건 아니다. 작고 아담한 정혜사부터 야생차로 유명한 선암사, 우리나라 삼보사찰인 송광사까지 서로 다른 매력에 흠뻑 빠져보자. 선암사까지 약 30분 정도 가벼운 산책을 즐기고 주암호 드라이브도 만끽해보자.",77km(걷기길 2km 포함),8시간,"1.정혜사
코스개요 :정혜사는 대한 불교 조계종 제 19교구 화엄사 말사이다. 정혜사는 본래 승주군에 속하였으나 최근에 순천시로 편입되었고 주변에는 송광사, 화엄사, 선암사와 같은 유서 깊은 고찰들이 가까이 위치하고 있다. 두 개의 석축을 쌓아 사찰을 조성하였는데, 1단의 석축에는 공양간이 있고, 2단의 석축 위에 사찰의 전각을 조성하여 두 개의 공간으로 구분하였다. 보물 제804호로 지정된 대웅전의 단아한 모습과 어울리게 정혜사는 오래된 사찰이라는 뜻에서 일명 고사(古寺)라고도 알려져 있다. 

2.선암사 계곡
코스개요 :순천에서 27km 떨어진 조계산 동쪽 기슭으로 이어지는 선암사계곡은 맑고 깨끗하며 조용하다. 계곡 위로는 조선 숙종 39(1713년) 호암대사가 만들었다고 전해지는 반원형의 교량인 승선교(보물 400호)가 있다. 

3.선암사
코스개요 :조계산 기슭 동쪽에 자리잡은 선암사는 백제 성왕 7년(529년)에 아도화상이 비로암을 짓고, 신라 경문왕1년 도선국사가 선종 9산 중 동리 산문 선풍으로 지금의 선암사를 창건하셨다. 선암사 주위로는 수령 수백년 되는 상수리, 동백, 단풍, 밤나무 등이 울창하고 특히 가을 단풍이 유명하다. 사찰 전통문화가 가장 많이 남아 있는 절의 하나로 보물 7점 외에도 장엄하고 화려한 대웅전, 팔상전, 원통전, 금동향료, 일주문 등 지방 문화재 12점이 있고, 선암사 본찰 왼편으로 난 등산로를 따라 오르면 높이 7m, 넓이 2m에 이르는 거대한 바위에 조각된 마애불을 볼 수 있다.

4.점심식사(장원식당, 길상식당)
코스개요 :[장원식당]<br />
맛의 고향 전라남도 순천에 위치한 장원식당은 선암사를 대표하는 오래된 맛집이다. 
메뉴로는 다채로운 나물들과 깻잎, 고추장아찌, 꼬막 등 25여가지의 맛깔스러운 반찬들과 함께하는 산채정식과 토종닭요리, 간단하면서 든든하게 하는 산채비빔밥 등을 즐길 수 있다.<br /><br />
[길상식당]<br />
산채정식, 더덕구이정식 및 닭백숙을 판매하는 음식점이다.

5.전통야생차 체험관
코스개요 :조계산 선암사 가는 길목에 위치한 하늘과 물소리, 바람소리가 어우러진 아늑한 체험관에서 향기 가득한 차를 직접 만들고 시음하며 산방, 명상 체험을 할 수 있는 공간이다. 순천시에서 생산되는 차를 시음 할 수 있으며, 단체로 예약하여 다도체험 등 다양한 체험에 직접 참여 할 수 있는 곳이다.

6.주암호와 상사호
코스개요 :1984~1992년까지 8년간에 걸쳐 완성되어 7억 7만 톤의 물을 담수하고 있는 주암.상사호는 광주. 전남권의 용수조절 기능 외에 145.5㎞의 호반도로를 끼고 있으며, 호남고속도로를 정점으로 국도 15, 18, 27호선이 송광사와 고인돌 공원을 연결하여 주암호를 싸고돌며, 지방도 818, 857호선으로 이어지는 낙안읍성 민속마을과 상사호는 또 다른 아름다움을 추가하며 조계산과 모후산 자락 아래 펼쳐진 여유롭고 풍만한 자연을 만끽할 수 있는 아름다움을 안겨주는 순천시의 중요한 관광자원이다.

7.송광사
코스개요 :조계산 북쪽 기슭에 자리 잡은 송광사는 합천 해인사(법보사찰), 양산 통도사(佛寶)와 더불어 한국 삼보사찰(三寶寺刹)로 불리고 있다. 신라 말엽 혜린선사(慧璘禪師)가 작은 암자를 짓고 길상사라 부르던 것을 시작으로 보조국사 지눌스님이 정혜결사를 이곳으로 옮겨와 수도, 참선의 도량으로 삼은 뒤부터 승보사찰이 되었다. 보조국사 지눌스님을 비롯한 16국사를 배출했다. 

"
,타임머신 타고 떠나는 순천,순천의 옛 과거와 추억을 되돌아보고 현재 모습과 앞으로의 미래를 생각해 보는 코스. 낙안읍성 민속마을은 옛 선조들이 생활하던 흔적이 고스란히 보존되어 있는 곳으로 여러 가지 민속체험도 마련되어 있다. 순천 드라마 세트장은 과거의 향수를 불러일으키는 추억의 공간이다.,44km,8시간,"1.낙안읍성 민속마을
코스개요 :삼한시대 마한땅, 백제 때 파지성, 고려 때 낙안군 고을터며, 조선시대 성과 동헌, 객사, 임경업장군비, 장터, 초가가 원형대로 보존되어, 성과 마을이 함께 국내 최초로 사적 제302호에 지정되었다. 남부 지방의 독특한 주거양식인 툇마루와 부엌, 토방, 지붕, 섬돌 위의 장독, 이웃과 이웃을 잇는 돌담은 모나지도, 높지도 않고, 담장이와 호박넝쿨이 어우러져 술래잡기하며 뛰놀던 어린시절 마음의 고향을 연상케 한다.

2.낙안온천
코스개요 :낙안온천은 전라남도로부터 순천시 낙안면 상송리 일원에 면적 1,444,000㎡를 2003년 3월 5일 전라남도 고시 제 2003-25호로 온천원 보호지구로 지정받아 본 개발계획 (대온천장, 놀이시설, 숙박시설, 요양시설 등)이전에 중탄산 나트륨을 비롯하여 유황과 게르마늄 및 인간의 건강에 도움을 주는 다양한 광물질이 함유된 온천수를 홍보하고자, 낙안민속마을 전경이 한눈에 들어오는 금전산 중턱에 낙안온천 시욕장을 건설하였다. 

3.순천 오픈세트장
코스개요 :순천시 조례동에 있는 영화, 드라마 세트장은 39,669.6m²(12,000평) 규모에 1960년대부터 80년대까지 시대별로 3개 마을 200여채가 
지어져 국내최대 규모를 자랑한다.
최근 인기드라마의 무대가 된 드라마 촬영장소가 인기있는 관광명소가 되는 바람을 타고 
세트장은 50·60세대에게는 그리운 향수를, 청소년들에게는 60~80년대 
달동네의 생활을 체험할 수 있는 곳으로 알려지며 가족단위 관람객의 방문이 줄을 잇고 
있어 순천시의 또다른 관광명소로 각광을 받고 있다.

"
,"한센병 환자의 슬픔을 간직한 섬, 소록도","지형이 어린 사슴을 닮아 이름 지어진 소록도는 강제노역과 폭력으로 얼룩진 수난과 고통의 슬픈 역사를 간직한 섬이다. 일제강점기 때 한센병 환자들이 강제 수용되었던 곳으로  당시의 감금실과 검시실 뿐 아니라 만령당, 식량창고, 신사, 등대, 녹산초등학교 교사, 원장 관사 등이 옛 모습을 간직하고 있다. 소록도에 남아 있는 옛 건축물들은 자혜의원 본관을 제외하고 모두 등록문화재로 지정되어 있어 둘러보는 내내 마음이 스산해진다.",약 27km,4시간,"1.고흥발포만호성
코스개요 :발포진성은 현재 고흥군 도화면 발포리 성촌마을을 중심으로 있다. 이 성은 전라좌수영 산하의 5관5포(5관 - 순천, 낙안, 보성, 광양, 고흥 / 5포 - 사도, 여도, 녹도, 발포, 방답) 중 수군만호가 다스린 수군진성으로서 성종21년(1490) 축성되어 고종 31년(1894) 폐지된 조선 초기의 성이다. 또 이 성은 선조13년(1580) 이순신장군이 36세 때 발포만호로 부임해와 18개월 동안 재임했던 인연을 맺고 있다. 

2.금탑사(비자나무숲)
코스개요 :고흥읍에서 16km 떨어진 포두면 천등산(554m) 중턱에 위치한 사찰이다. 원효대사가 창건하였다 하나 확실한 근거는 없다. 금탑사의 금탑이란 인도의 아육왕이 보탑을 건립한 것을 가리키는 것이라고 한다. 그 뒤 정유재란 때 불탄 것을 1603년 궁현·옥순대사가 중건했다가 숙종18년(1692) 불에 타버리고 극락전만 남았다고 한다. 현존하는 건물로는 극락전(지방 문화재102호)을 비롯해서 명부전, 삼성각, 범종각, 요사채 등이 있고, 보물1344호인 괘불탱이 있다. 절 주위의 울창한 비자림은 천연기념물 제239호이다. 4만여 평의 면적에 약 3,300여 그루의 비자나무가 금탑사와 암자주변에 무성하게 자생하고 있어 장관을 이룬다.

3.소록도
코스개요 :소록도는 전남 고흥반도의 끝자락인 녹동항에서 1㎞가 채 안되는 곳에 위치하고 있으며, 섬의 모양이 어린 사슴과 비슷하다고 하여 소록도라고 불리 운다. 이 섬은 한센병 환자를 위한 국립소록도병원이 들어서 있는 섬으로 유명하다. 과거 한센병 환자들의 애환이 깃들어 있는 섬이지만, 현재는 700여명의 환자들이 애환을 딛고 사랑과 희망을 가꾸고 있다. 섬의 면적은 4.42㎢에 불과하지만 깨끗한 자연환경과 해안절경, 역사적 기념물 등으로 인해 고흥군의 새로운 관광명소로 떠오르고 있다. 고흥반도를 가로질러 녹동항 부둣가에 서면 600m 전방에 작은 사슴처럼 아름다운 섬 '소록도'가 한눈에 들어온다. 

4.거금도
코스개요 :고흥반도 도양읍에서 남쪽으로 2.3km 떨어진 해상에 있으며, 소록도 바로 아래 위치한 섬이다. 최고점은 적대봉(592m)이며, 400m 내외의 산지가 많으나 서쪽과 북쪽은 경사가 완만한 구릉성 산지로 되어 있다. 해안은 사질해안이 많으나 돌출한 갑 일대는 암석 해안을 이루고 있으며, 해식애도 발달해 있다. 주민들은 대부분 농업과 어업을 겸한다. 농산물로는 쌀·보리·참깨·고구마·마늘·양파 등이 주로 생산된다. 근해에서 장어·감숭어·전어 등이 잡히고, 김·미역·굴 등의 양식업도 활발하다. 특히 김 양식은 대규모로 행해진다. 문화재로는 대흥리에 있는 조개더미가 대표적이며, 그밖에도 송광암·금산면성치·상하촌 고인돌군이 있다.

"
,"목포의 역사와 문화, 자연, 예술을 고루 맛보다","목포의 자연과 역사, 문화, 예술을 두루 체험하는 코스. 독특한 자연절경인 갓바위를 감상한 후 목포 문화의 거리로 발걸음을 옮겨 박물관 투어에 나서본다. 깨끗이 정비된 거리를 따라 목포문화예술회관을 비롯해 목포 자연사박물관, 목포 문학관, 남농 기념관 등이 자리해 있다. 삼학도는 여행길에 잠시 쉬었다 가기 좋은 야외 나들이 코스. 이순신 장군의 얼이 서려 있는 노적봉과 유달산 야외 조각공원은 목포 전경을 한 눈에 담는 최고의 전망을 풀어낸다.",14.8km,8시간30분,"1.목포 갓바위
코스개요 :갓바위에는 중바위가 있고 삿갓바위가 있는데 보통 삿갓 바위를 보고 중바위 또는 삿갓바위라고들 한다. 바다 쪽에 있는 바위가 마치 스님 두 분이 삿갓을 쓰고 있는 것 같다 하여 갓바위라고 부르며 중바위는 훌륭한 도사스님이 기거 하였다 하여 중바위라 전해지고 있다. 

2.목포 문화의 거리
코스개요 :목포 문화의 거리는 목포문화예술회관이 위치한 거리를 말한다. 전라남도 시범 문화의 거리로 박물관의 도시답게 다양한 전시관이 자리 잡고 있다. 
우선 신안, 완도 앞 바다에서 발굴 인양된 선박들이 전시된 국립 해양유물전시관과 공룡모형, 화석, 광물, 자연 문화 등이 전시된 자연사박물관이 있으며, 남종화의 진수를 맛볼 수 있는 남농전시관도 이곳에 위치해있다. 

3.삼학도
코스개요 :지금은 매립되어 육지가 되었으나 삼학도는 유달산과 함께 목포 사람들의 꿈이었고 미래였다. 망망대해로 낭군을 떠나보낸 아낙들의 외로움이 녹아있고, 고깃배를 기다리는 상인들의 희망이 달려있으며 이승을 하직하고 저승으로 건너는 망자들의 한이 녹아있는 곳이다. 이렇듯 삼학도는 목포사람들의 희로애락과 함께 산 시민의 서러움이 엉켜있는 곳이다. 

4.노적봉
코스개요 :노적봉은 목포시 유달산에 있는 거석 봉우리를 말한다. 이 봉우리는 임진왜란 때 충무공 이순신(李舜臣) 장군이 적을 물리치기 위해 이용한 것으로 유명하며, 이순신 장군의 지형을 이용한 고도의 심리전이 돋보인 곳이다.
임진왜란 당시 군사적 열세를 만회하기 위해서 이엉을 엮어 바위를 덮었는데, 마치 그것이 군량미를 덮어놓은 노적처럼 꾸며서, 군량미가 대량으로 비축되어 있는 것처럼 보이게 했다. 당시 노적봉을 돌던 전술은 훗날 문화예술로 승화되어, 강강수월래로 발전하였다는 전설이 서려 있다.

5.유달산 조각공원
코스개요 :목포 시가지가 한눈에 내려다보이는 양지 바른 유달산 기슭 이등봉 아래 산자락에 자리하고 있다. 유달산 조각공원은 우리나라에서 최초로 조성된 14,000여 평 규모의 야외공원으로 1982년 10월 문을 열었다. 야외음악당, 분수, 휴게소 등의 부대시설 및 사찰인 관음사가 있으며 우리의 전통 한옥 한 채가 원형대로 보존되어 있으며 조각품주변에는 희귀수목으로 조경되어 있고, 평화의 상징인 비둘기가 한데 어우러져 있다.

"
